
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |         240 |       00:41:24 |        11.63 |        11.59 |      67.6756 |      67.2100 |          0.1000 |
|       1 |         245 |       00:42:15 |        11.74 |        11.55 |      68.9127 |      66.6988 |          0.1000 |
|       1 |         250 |       00:43:06 |        11.80 |        11.51 |      69.6074 |      66.2564 |          0.1000 |
|       1 |         255 |       00:43:57 |        11.34 |        11.32 |      64.3348 |      64.0987 |          0.1000 |
|       1 |         260 |       00:44:48 |        11.15 |        11.33 |      62.1506 |      64.1305 |          0.1000 |
|       1 |         265 |       00:45:40 |        11.51 |        11.12 |      66.2097 |      61.8211 |          0.1000 |
|       1 |         270 |       00:46:30 |        11.37 |        11.18 |      64.6532 |      62.5020 |          0.1000 |
|       1 |         275 |       00:47:22 |        11.13 |        11.01 |      61.9746 |      60.5757 |          0.1000 |
|       1 |         280 |       00:48:13 |        11.32 |        11.10 |      64.1062 |      61.6086 |          0.1000 |
|       1 |         285 |       00:49:04 |        11.15 |        11.01 |      62.2061 |      60.5946 |          0.1000 |
|       1 |         290 |       00:49:55 |        11.03 |        10.89 |      60.8781 |      59.3472 |          0.1000 |
|       1 |         295 |       00:50:46 |        10.81 |        10.90 |      58.4605 |      59.4287 |          0.1000 |
|       1 |         300 |       00:51:37 |        11.08 |        10.80 |      61.3741 |      58.3119 |          0.1000 |
|       1 |         305 |       00:52:30 |        10.65 |        10.85 |      56.7046 |      58.8235 |          0.1000 |
|       1 |         310 |       00:53:22 |        11.33 |        10.72 |      64.2342 |      57.4384 |          0.1000 |
