
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |         240 |       00:39:37 |         8.32 |         8.37 |      34.6080 |      35.0298 |          0.1000 |
|       1 |         245 |       00:40:25 |         8.10 |         8.38 |      32.8366 |      35.0989 |          0.1000 |
|       1 |         250 |       00:41:14 |         8.28 |         8.22 |      34.2527 |      33.7670 |          0.1000 |
|       1 |         255 |       00:42:02 |         8.16 |         8.19 |      33.2679 |      33.5647 |          0.1000 |
|       1 |         260 |       00:42:51 |         8.23 |         8.16 |      33.8841 |      33.2855 |          0.1000 |
|       1 |         265 |       00:43:40 |         8.38 |         8.03 |      35.1424 |      32.2678 |          0.1000 |
|       1 |         270 |       00:44:28 |         8.31 |         8.06 |      34.5157 |      32.4989 |          0.1000 |
|       1 |         275 |       00:45:17 |         7.99 |         8.06 |      31.9035 |      32.4974 |          0.1000 |
|       1 |         280 |       00:46:06 |         7.98 |         7.89 |      31.8513 |      31.1480 |          0.1000 |
|       1 |         285 |       00:46:55 |         7.87 |         7.84 |      30.9546 |      30.7591 |          0.1000 |
|       1 |         290 |       00:47:44 |         7.94 |         7.85 |      31.5157 |      30.7914 |          0.1000 |
|       1 |         295 |       00:48:33 |         7.83 |         7.81 |      30.6612 |      30.4951 |          0.1000 |
|       1 |         300 |       00:49:22 |         7.69 |         7.76 |      29.5297 |      30.1066 |          0.1000 |
|       1 |         305 |       00:50:11 |         7.60 |         7.68 |      28.8844 |      29.5137 |          0.1000 |
|       1 |         310 |       00:51:00 |         7.51 |         7.65 |      28.1675 |      29.2518 |          0.1000 |
|       1 |         315 |       00:51:49 |         7.52 |         7.61 |      28.2560 |      28.9378 |          0.1000 |
|       1 |         320 |       00:52:38 |         7.52 |         7.59 |      28.2486 |      28.8405 |          0.1000 |
|       1 |         325 |       00:53:27 |         7.56 |         7.53 |      28.5555 |      28.3576 |          0.1000 |
